Time UTC,Time Year,Time Month,Time Week,Time Day of Year,Time Day of Month,Time Day of Week,Time Hour,Time Minute,SMP,Generation Total MW,Generation Renewable MW,Generation SNSP,CO2 Rate kg/hr,CO2 Intensity kg/MW,Generator Synchronised Total Capacity MW,Generator Flex. Upward MW,Generator Flex. Downward MW,Generator Largest Source MW,Source Hydro MW,Source Gas MW,Source Coal MW,Source Oil MW,Source Peat MW,Source Dist MW,Source Waste MW,Source Pumped Hydro MW,Wind Total MW,Wind Estimate Error MW,Wind Estimate Error %
1199145600,2008,1,1,0,0,1,0,0,47.86,3998.32,705.44,0.155415274,1869782.66,467.6420748,4633,1602.57,1046.58,400.64,159.1,1749.26,1176.74,35.96,224.62,19.94,0,11.3,546.34,94.24,44.4990084
1199147400,2008,1,1,0,0,1,0,30,47.86,3882.84,709.72,0.161618815,1839395.596,473.7242833,4560,1525.29,1123.86,402.8,157.18,1636.12,1177.52,35.84,224.72,19.92,0,-28.66,552.54,66.58,29.74844734
1199149200,2008,1,1,0,0,1,1,0,45.84,3833.78,696.06,0.159790077,1816124.819,473.7164937,3997,1499.63,1060.52,400.96,158.46,1626.96,1167.84,35.96,224.58,7.38,0,-132.78,537.6,66.31,28.80851526
1199151000,2008,1,1,0,0,1,1,30,47.85,3712.48,619.88,0.144641857,1788198.954,481.6723467,3905,1452.81,827.34,400.88,157.98,1599.84,1157.36,35.86,224.46,0,0,-155.22,461.9,83.04,37.53389984
1199152800,2008,1,1,0,0,1,2,0,45.83,3552.6,580.58,0.140060801,1756072.314,494.3062304,3905,1331.83,948.32,401.6,158.06,1479.16,1157.18,35.82,224.8,0,0,-153.98,422.52,72.94,31.1536326
1199154600,2008,1,1,0,0,1,2,30,44.86,3401.8,584.78,0.147233817,1696212.259,498.621982,3562,1281.69,909.46,401.84,158.98,1339.32,1141.94,35.84,224.86,0,0,-153.04,425.8,82.6,36.06671906
1199156400,2008,1,1,0,0,1,3,0,41.43,3307.08,590.22,0.152944592,1654455.526,500.2768381,3562,1194.85,996.3,401.84,159.42,1247.5,1133.38,35.82,225.16,0,0,-152.4,430.8,92.74,39.92079549
1199158200,2008,1,1,0,0,1,3,30,41.43,3228.6,590.3,0.156922505,1622755.403,502.6189069,3562,1116.27,1074.88,402,158.74,1189.32,1112.98,35.82,225.1,0,0,-152.16,431.56,87.16,37.81016832
1199160000,2008,1,1,0,0,1,4,0,41.43,3142.6,567.48,0.154006237,1578311.435,502.2310936,3562,1053.45,1137.7,401.52,158.5,1171.24,1068.16,35.9,224.82,0,0,-151.84,408.98,97.32,43.96061071
1199161800,2008,1,1,0,0,1,4,30,41.43,3055.22,525.72,0.144912641,1546960.468,506.3335759,3562,1011.71,893.44,400.88,158.04,1160.46,1032.68,35.9,225.4,0,0,-151.5,367.68,105.28,49.1824722
1199163600,2008,1,1,0,0,1,5,0,41.43,3027.24,523.2,0.145426197,1526112.688,504.1267584,3562,987.79,917.36,400.72,158.02,1160.24,1007.54,35.94,225.26,0,0,-164.64,365.18,104.99,49.66062011
